Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
WORK AGING AND RETIREMENT,2054-4642,2054-4650,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Management | Psychology, Applied | Industrial Relations & Labor"
WORK AND STRESS,0267-8373,1464-5335,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Psychology, Applied"
ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,0932-4089,2190-6270,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",German,"Psychology, Applied"
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,0049-8637,2190-6262,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",German,"Psychology, Educational"
ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,1616-3443,2190-6297,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",German,"Psychology, Clinical"
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,1010-0652,1664-2910,VERLAG HANS HUBER,"LANGGASS-STRASSE 76, BERN 9, SWITZERLAND, CH-3000",Multi-Language,"Psychology, Educational"
ZEITSCHRIFT FUR PSYCHIATRIE PSYCHOLOGIE UND PSYCHOTHERAPIE,1661-4747,1664-2929,VERLAG HANS HUBER,"LANGGASS-STRASSE 76, BERN 9, SWITZERLAND, CH-3000",German,"Psychology, Clinical"
ZEITSCHRIFT FUR PSYCHOLOGIE-JOURNAL OF PSYCHOLOGY,2190-8370,2151-2604,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",German,"Psychology, Multidisciplinary"
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,1438-3608,2196-8349,VANDENHOECK & RUPRECHT GMBH & CO KG,"VIENNA UNIV PRESS, ROBERT BOSCH BREITE 6, GOTTINGEN, GERMANY, D-37079",Multi-Language,"Psychology, Clinical | Psychology, Multidisciplinary | Psychology, Psychoanalysis"
ZEITSCHRIFT FUR SEXUALFORSCHUNG,0932-8114,1438-9460,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",German,"Psychology, Clinical | Social Sciences, Interdisciplinary"
ZEITSCHRIFT FUR SPORTPSYCHOLOGIE,1612-5010,2190-6300,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",German,"Psychology, Applied"
